pair,t,ttc_s,pet_s,dca_px,type,x_px,y_px,cls_a,cls_b,id_a,id_b,zone
"(1, 23)",2.68,1000000000.0,0.2916666666666665,64.4760435293432,veh-nmv,888.3176190476194,339.4848690476192,cng,rickshaw,1,23,Approach (North)
"(101, 159)",27.32,1000000000.0,0.120000000000001,54.903181024224914,veh-veh,850.0479285714287,369.44620238095257,car,cng,101,159,none
"(114, 140)",23.92,1000000000.0,0.7249999999999979,65.47240963649803,veh-nmv,987.6259671516764,405.9889155643741,car,rickshaw,114,140,none
"(150, 167)",28.48,1000000000.0,0.7199999999999989,51.61478614194251,veh-veh,969.7590186224496,361.811792857143,rickshaw,rickshaw,150,167,Approach (North)
"(196, 204)",35.76,1000000000.0,0.2633333333333354,60.00991841070125,veh-ped,270.16348809523856,608.608729166667,car,person,196,204,Approach (West)
"(216, 233)",40.08,1000000000.0,0.0,60.23123674753042,veh-veh,1045.0660214285715,333.81837380952385,rickshaw,rickshaw,216,233,Approach (North)
"(216, 249)",43.44,1000000000.0,0.0800000000000054,58.398010247841896,veh-veh,924.3296428571432,305.90447619047643,rickshaw,person,216,249,Approach (North)
"(230, 255)",44.56,1000000000.0,0.0,56.52396634876712,veh-nmv,889.7473720238102,400.5523690476201,cng,rickshaw,230,255,center
"(249, 251)",43.6,1000000000.0,0.5799999999999983,38.9373113136128,veh-veh,1002.322205357144,343.67383928571456,person,rickshaw,249,251,Approach (North)
"(251, 256)",44.88,1000000000.0,0.6766666666666623,53.79326607138146,veh-veh,1050.9536190476197,346.12802380952405,rickshaw,rickshaw,251,256,Approach (North)
"(412, 436)",74.92,1000000000.0,0.6500000000000057,64.29145113326418,veh-ped,1073.5746428571435,366.8840714285717,person,car,412,436,Approach (North)
"(439, 461)",77.68,1000000000.0,0.25,56.16106920880109,veh-veh,913.297051587302,338.2659523809524,rickshaw,rickshaw,439,461,Approach (North)
"(485, 514)",85.52,1000000000.0,0.0733333333333376,55.4904166515817,veh-veh,1021.5623809523815,349.0649880952383,rickshaw,bicycle,485,514,Approach (North)
"(543, 555)",93.48,1000000000.0,0.5699999999999932,51.63181689943805,veh-ped,953.9429076797392,322.59689717553715,person,cng,543,555,Approach (North)
"(619, 627)",109.68,1000000000.0,0.0,67.08945707007882,veh-ped,986.965834204414,498.7056994773524,person,car,619,627,center
"(633, 700)",123.88,1000000000.0,0.75833333333334,54.031520410486,veh-ped,1084.5481587301597,460.3947863095242,person,car,633,700,center
"(695, 696)",122.16,1000000000.0,0.0,41.72224919930478,veh-veh,1051.2821209781216,381.21579601029634,rickshaw,person,695,696,Approach (North)
"(709, 718)",126.64,1000000000.0,0.068333333333328,56.48270479225585,veh-veh,717.9700119047625,605.0384285714291,person,bicycle,709,718,center
"(845, 896)",167.68,1000000000.0,0.1383333333333212,35.89999940300177,veh-veh,1225.2162272156104,492.6315981481487,car,car,845,896,center
"(975, 987)",184.68,1000000000.0,0.0,68.46891092980633,veh-ped,1087.8135690476197,519.1913190476196,car,person,975,987,center
"(979, 983)",183.72,1000000000.0,0.4550000000000125,67.52351132846037,veh-veh,1072.6796190476198,383.01202380952407,rickshaw,bicycle,979,983,Approach (North)
"(1274, 1294)",246.68,1000000000.0,0.7599999999999909,48.91309987743124,veh-veh,908.6914320728296,399.3443515406163,cng,car,1274,1294,center
"(1354, 1358)",258.4,1000000000.0,0.5199999999999818,58.577191701652055,veh-nmv,1072.8687916666631,430.6719047619039,bicycle,car,1354,1358,center
"(1420, 1429)",274.32,1000000000.0,0.2000000000000454,63.4466654349082,veh-ped,1445.8316047618923,513.5294285714265,person,car,1420,1429,Approach (East)
"(1420, 1461)",281.6,1000000000.0,0.0,60.53648768689352,veh-ped,1050.3019047619057,346.9814404761908,person,car,1420,1461,Approach (North)
"(1439, 1444)",278.24,1000000000.0,0.5949999999999704,63.683335959240274,veh-ped,1498.542746025585,527.2616821206748,car,person,1439,1444,Approach (East)
"(1529, 1534)",302.08,1000000000.0,0.0,61.06465293006338,veh-nmv,943.2982023809528,361.5786564625853,car,rickshaw,1529,1534,Approach (North)
"(1534, 1541)",303.56,1000000000.0,0.6666666666666856,43.55119499508652,veh-nmv,1014.6916852182546,334.1403249007939,rickshaw,cng,1534,1541,Approach (North)
"(1546, 1549)",306.4,1000000000.0,0.5200000000000387,30.479392916977243,veh-ped,1079.5970714285709,316.5728046398052,car,person,1546,1549,Approach (North)
"(1546, 1558)",307.88,1000000000.0,0.6000000000000227,66.45403670641767,veh-ped,1133.5611239495795,317.37987885154075,car,person,1546,1558,Approach (North)
"(1549, 1553)",307.32,1000000000.0,0.0,46.721924424850585,veh-veh,1020.4404285714292,313.0462619047622,person,rickshaw,1549,1553,Approach (North)
"(1604, 1606)",316.32,1000000000.0,0.0,58.728341945415245,veh-veh,1163.5244523809524,378.4590238095239,rickshaw,person,1604,1606,Approach (North)
"(1716, 1724)",337.2,1000000000.0,0.0,66.08689304542501,veh-ped,1084.6706547619056,333.11483333333365,car,person,1716,1724,Approach (North)
"(1734, 1737)",340.28,1000000000.0,0.0,57.92288834907183,veh-veh,1057.2650357142868,326.25980952380974,rickshaw,person,1734,1737,Approach (North)
"(1789, 1796)",351.04,1000000000.0,0.0533333333333416,61.60659834347746,veh-ped,1127.8140604607593,329.1717799823633,car,person,1789,1796,Approach (North)
